,Finanzierungsart,Year,Melder,Sektor,Annex2,Empfängerland,ODA-Art,Projektbeschreibung,Organisation,Art der Organisation,ProjectNumber,Zusage,Auszahlung,ISO
3801,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,16020.0,Yes,"Developing countries, unspecified",Bil ODA,"1. Mechanisms for participatory and evidence-based minimum wage fixing and collective bargaining will have been strengthened in the target countries, 2. Systems for assuring labour standards compliance at the factory level will have improved in the target countries, 3. The institutional capacity of tripartite partners to respond to labour standards challenges in the global garment sector supply chain will have improved.",International Labour Organisation - Regular Budget Supplementary Account,"United Nations (UN) agency, fund or commission",201579820,0.0,1578176.0,
3802,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,74020.0,Yes,"Developing countries, unspecified",Bil ODA,"The objective of the World Bank Facility is to reduce disaster risks, strengthen resilience and systematically anchor disaster preparedness in the respective national development strategies and planning processes. To this end, the Global Facility for Disaster Reduction and Recovery provides financing and technical advice for innovative disaster preparedness measures in selected cooperation countries.",International Bank for Reconstruction and Development ,World Bank Group (WB),201418003,0.0,2254537.0,
3803,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15111.0,Yes,"Developing countries, unspecified",Bil ODA,"The programme's focus in on capacity building, offering an integrated set of activities, including the implementation of an advanced computerized debt managament system",United Nations Conference on Trade and Development ,"United Nations (UN) agency, fund or commission",200779967a,84544.9999999999,14091.0,
3804,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,11110.0,Yes,"Developing countries, unspecified",Bil ODA,"The GMR is an independent annual report building the basis for the annual Higl level meeting of the EFA High Level Group to monitor progress towards the six Education for All (EFA) goals to which more than 160 countries agreed as part of the Dakar Framework for Action, adopted during the World Education Forum in 2002.","United Nations Educational, Scientific and Cultural Organisation","United Nations (UN) agency, fund or commission",200307124,112726.9999999999,169089.9999999999,
3805,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,43010.0,No,"Developing countries, unspecified",Bil ODA,Implementation of IATI workplan,"United Nations Office for Project Services, Other","United Nations (UN) agency, fund or commission",201379940,180363.0,81526.0,
3806,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,11182.0,No,"Developing countries, unspecified",Bil ODA,Promotion of RBF-Systems in the education sector,"World Bank Group (WB), Other",World Bank Group (WB),201579374,450907.0,1127269.0,
3807,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15114.0,Yes,"Developing countries, unspecified",Bil ODA,Enhanced DRM for developing countries,OECD Development Centre ,Other multilateral institutions,201779321,484725.9999999999,33818.0,
3808,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,74020.0,Yes,"Developing countries, unspecified",Bil ODA,This proposal seeks financial support from the BMZ to support regional and national Sendai Framework implementation through improved knowledge of risks through the compilation of historical disaster-related data to inform the modelling and assessment of future risks. The proposal is part of the UNISDR 2016-2019 Workprogramme,United Nations Office for Disaster Reduction,"United Nations (UN) agency, fund or commission",201718410,563633.9999999999,0.0,
3809,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,24010.0,No,"Developing countries, unspecified",Bil ODA,Strenghtening of financial systems in low-income countries - a functioning and stable financial system is a precondition for economic growth and employment. The financial crisis and the curent situation in financial markets shows that there is an urgent need to strengthen financial supervision and regulatory capacity als well as crisis response capacity of national actors in many countries.-,"World Bank Group (WB), Other",World Bank Group (WB),200960203,563633.9999999999,563633.9999999999,
3810,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,43010.0,No,"Developing countries, unspecified",Bil ODA,"Sport4Climate, an Initiative of Connect4Climate, a Climate Change Communication Global Partnership Program of the World Bank Group, that plays an active role in spreading climate awareness and advancing climate action","World Bank Group (WB), Other",World Bank Group (WB),BMZ_IKU_WB,563633.9999999999,563633.9999999999,
3811,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,43010.0,Yes,"Developing countries, unspecified",Bil ODA,Strenthened national capacity and policies to deliver 2030 Agenda results supported by fit for purpose UNCT with the capacity and efficacy to deliver shared results,United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201779925,732724.9999999999,0.0,
3812,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,13020.0,Yes,"Developing countries, unspecified",Bil ODA,Increased national capacity to deliver comprehensive maternal health services,United Nations Population Fund ,"United Nations (UN) agency, fund or commission",201279819,1127269.0,1014542.0,
3813,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,12240.0,No,"Developing countries, unspecified",Bil ODA,Support for the combat against malnutrition through strengthening the SUN Secretariat,"United Nations Office for Project Services, Other","United Nations (UN) agency, fund or commission",BMZ_SUN,1127269.0,1127269.0,
3814,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,33110.0,No,"Developing countries, unspecified",Bil ODA,Support of countryspecific programmes/projects in order to enhance the integration of LDSs into international trade,"United Nations Office for Project Services, Other","United Nations (UN) agency, fund or commission",201579358,1465449.0,1465449.0,
3815,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15220.0,Yes,"Developing countries, unspecified",Bil ODA,Achieve accelerated and measurable progress towards achieving the SDGs using New Deal principles in fragile states,United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201779974,1578176.0,0.0,
3816,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,43010.0,Yes,"Developing countries, unspecified",Bil ODA,"1. Establishment of a HL Advisory Group, 2. Creating a global network of development think tanks and research centers, 3. Strengthening internal capacities for effective operationalisation of the strategic plan, 4. improvement to UNDP's business model",United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201779941,2716717.0,2265810.0,
3817,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15170.0,Yes,"Developing countries, unspecified",Bil ODA,Strengthening of participating and influence of women in peace processes and transitional processes in the Middle East and in North Africa,United Nations Entity for Gender Equality and the Empowerment of Women,"United Nations (UN) agency, fund or commission",201640762,5636343.0,1736105.0,
3818,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,13040.0,Yes,"Developing countries, unspecified",Bil ODA,Translating the UNAIDS Strategy 2016 - 2021 'Fast-Tracking to Zero' into Action,Joint United Nations Programme on HIV/AIDS ,"United Nations (UN) agency, fund or commission",200279380,8341787.999999997,5636343.0,
3819,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,11110.0,No,"Developing countries, unspecified",Bil ODA,Implementation of national education strategies in cooperation with the Global Partnership for Education (GPE),"Global Partnership for Education, Other",Other multilateral institutions,BMZ_GPE_II,42836208.0,0.0,
3820,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,41010.0,No,"Developing countries, unspecified",Bil ODA,"The InsuResilience Global Partnership contributes to strengthening the resilience of developing countries, mobilizing private engagement and further closing the protection gap with respect to climate and disaster risk.","World Bank Group (WB), Other",World Bank Group (WB),BMZ_IR_MDTF,107090520.0,5636343.0,
3821,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,31310.0,Yes,Eritrea,Bil ODA,"The programm aims at improving food security, employment and income of poor segments of the population in Eritrea through sustainable management of fisheries ressources. The programme will support artisanal fishermen/-women - both on the coast as well as on inland waters - to produce a surplus for sale, while keeping the maxiumum sustainable yield. The main target group are poor smallscale fisherman/-women, including woman and youth, who often do not have the necessary equipment. The programme shall benefit 90.000 people.",International Fund for Agricultural Development ,"United Nations (UN) agency, fund or commission",201701242,11272686.0,0.0,ERI
3822,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,14031.0,Yes,Ethiopia,Bil ODA,Improvement of the drinking water care for South-Sudanese refugees and taking up municipalities in Benishangul-Gumus state.,United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201740810,3381806.0,3381806.0,ETH
3823,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,31193.0,Yes,Ethiopia,Bil ODA,"The objective of this FC program is to strengthen the resilience of smallholder households against the consequences of climate change through provision of needs-oriented, economically and financially sustainable insurance cover up against drought crisis, soil conservation measures, access to micro-credit, and by encouraging of saving behavior. The primary developmental policy goal is to improve long term food security of small farmers in the project region.",World Food Programme ,"United Nations (UN) agency, fund or commission",201701226,22545373.0,0.0,ETH
3824,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Ethiopia,Bil ODA,The aim of the project is to increase the target group's resistance to extreme weather risks (resilience). The focus here is on the transition from short-term food distribution to a supply that goes hand in hand with the creation of employment opportunities.,United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201718535,22545373.0,16909029.0,ETH
3825,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,14031.0,Yes,Ethiopia,Bil ODA,improved socioeconomic development of refugees and taking up municipalities,United Nations Office of the United Nations High Commissioner for Refugees ,"United Nations (UN) agency, fund or commission",201640465,0.0,1127269.0,ETH
3826,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,14031.0,Yes,Ethiopia,Bil ODA,Reduction of water-induced illnesses in refugee camps and taking up municipalities by an improved water supply and sewage disposal.,United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201640549,0.0,4019840.0000000005,ETH
3827,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,12250.0,Yes,Ethiopia,Bil ODA,Vaccination program promotion in Ethiopia in cooperation with the GAVI alliance,Global Alliance for Vaccines and Immunization ,Other multilateral institutions,201667146,0.0,4367636.0,ETH
3828,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,12250.0,Yes,Ethiopia,Bil ODA,"Vaccination program promotion in Ethiopia in collaboration with the GAVI Alliance, Phase II",Global Alliance for Vaccines and Immunization ,Other multilateral institutions,201767870,11272686.0,11272686.0,ETH
3829,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Ethiopia,Bil ODA,"To increase the target group's resistance to extreme weather risks (resilience) by contributing improved access to production-oriented, community-based infrastructure and to improve nutrition for the population affected by current droughts. Furthermore, measures to prevent long-term damage caused by malnutrition and malnutrition in children under 2 years of age will be implemented.",World Food Programme ,"United Nations (UN) agency, fund or commission",201718550,16909029.0,16909029.0,ETH
3830,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15130.0,Yes,Guatemala,Bil ODA,The conditions for an effective legal prosecution are improved with the participation of civil society actors,United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201522002,0.0,136047.0,GTM
3831,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Haiti,Bil ODA,Create incentives for communities to build resilience by creating capacities to help them rebuild after natural disasters and to strengthen their resistance to future disasters through money transfers from the Food for Assets programme.,World Food Programme ,"United Nations (UN) agency, fund or commission",201418151,0.0,225453.9999999999,HTI
3832,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Haiti,Bil ODA,"As part of the project, which is scheduled to start in 2017 after the harvest season, the World Food for Asset Programme will carry out activities to help the poorest households in rural Haiti affected by food insecurity to restore, strengthen and diversify their livelihoods. In addition, a resilience expert from the World Food Programme will support the government in developing national resilience plans.",World Food Programme ,"United Nations (UN) agency, fund or commission",201718477,2254537.0,1127269.0,HTI
3833,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Iraq,Bil ODA,Contribution to the strengthening of the legal capacity and efficiency of the Iraqi government in the area of Stabilisation and reconstruction.,United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201718626,45090745.0,28181716.0,IRQ
3834,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,72010.0,Yes,Iraq,Bil ODA,Improvement of the economic and social living conditions for IDPs and the local population.,United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201749944,33028971.0,12625409.0,IRQ
3835,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,11220.0,Yes,Iraq,Bil ODA,"Improvement of the access to education at school, the sanitary care as well as measures for the support of youngsters (refugees and local population). UNICEF.",United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201640523,0.0,907451.0,IRQ
3836,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Iraq,Bil ODA,Improving access to education and child protection services and the strengthening of winter resilience of the children on the run due to the battles for Mosul.,United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201718121,22545373.0,11272686.0,IRQ
3837,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Iraq,Bil ODA,"The aim of the project is to contribute to local stabilisation and to improving the living conditions of the target group. The project (Phase 1) comprises two components, which are primarily aimed at the immediate stabilisation/funding facility for immediate stabilisation and the strengthening of the Israq Crisis Response and Resilience Programme. The regional focus is on the areas destroyed and meanwhile liberated by Islamist groups and northern Iraq, where many refugees have temporarily found refuge.",United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201618644,0.0,15781761.0,IRQ
3838,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Iraq,Bil ODA,World Food Programme Iraq will launch a Transitionary Interim Paper in January 2018 to allow time for the preparation of the National Strategic Hunger Review which will inform the development of a full Country Strategic Plan for Iraq. The operation is currently undergoing review by executive management and it is expected to be approved in the next few weeks.,World Food Programme ,"United Nations (UN) agency, fund or commission",201718766,1187748.0,624113.0,IRQ
3839,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,72010.0,Yes,Iraq,Bil ODA,"Short-term possibilities of employment and income possibilities for prospective about 14,500 people.",United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201740836,45090745.0,20854470.0,IRQ
3840,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Jordan,Bil ODA,"The project aims at the immediate improvement of living conditions in Syria. Refugees and indigenous people particularly affected by the crisis and contains two components. (1) Improvement of drinking water supply and (2) Improving access to non-formal education and child protection services (project objective). To this end, the German side is providing a financing contribution of EUR 10 million to the United Nations Children's Fund.",United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201618594,0.0,5636343.0,JOR
3841,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Jordan,Bil ODA,"Jordan will adopt a Country Strategy Plan in February 2018. The Country Strategy Plan will be informed through a Country Strategy Review to be carried out in 2017 and aims to identify the remaining challenges Jordan faces in reaching the Sustainable Development Goal 2 by 2030. This review will inform the World Food Programme, but the activities proposed here are expected to continue under the forthcoming Country Strategy Plan.",World Food Programme ,"United Nations (UN) agency, fund or commission",201718451,16595649.000000002,10508398.0,JOR
3842,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,14030.0,Yes,Jordan,Bil ODA,UNICEF Jordan - Water and Wastewater Services in Za'atari camp (Phase III),United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201768258,11222040.0,11222040.0,JOR
3843,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Jordan,Bil ODA,Improvement of municipal infrastructure.,International Labour Organisation - Assessed Contributions,"United Nations (UN) agency, fund or commission",201749977,5636343.0,0.0,JOR
3844,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,11220.0,Yes,Jordan,Bil ODA,Improvement of the living conditions of Syrian refugees by voluntary service in elementary schools,United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201640663,6763612.0,6763612.0,JOR
3845,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,72010.0,Yes,Jordan,Bil ODA,Creation of possibilities of employment for refugees and members of taking up municipalities in Jordan.,International Labour Organisation - Assessed Contributions,"United Nations (UN) agency, fund or commission",201740729,11272686.0,11272686.0,JOR
3846,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Kenya,Bil ODA,"Within the Kalobeyei initiative, the German Federa l Ministry for Economic Cooperation and Development funding will support long term food and nutrition security for host communities and refugees through improved local supply.",World Food Programme ,"United Nations (UN) agency, fund or commission",201718501,1127269.0,1127269.0,KEN
3847,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Kenya,Bil ODA,"Support for a sustainable state school meal programme that contributes to improved access to education, reduces short-term hunger and boosts the local economy in Turkana. For the first school year, the World Food Programme supports schools in kind in preparing for the school feeding programme. The Ministry of Education, Science and Technology must be informed about the tendering procedures and accountability.",World Food Programme ,"United Nations (UN) agency, fund or commission",201618636,3956932.0,1984211.0,KEN
3848,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Kenya,Bil ODA,"Strategic Objective 1 - Save lives and protect livelihoods in emergencies. Strategic Objective 2 - Support or restore food security and nutrition and establish or rebuild livelihoods in fragile settings and following emergencies. Strategic Objective 3 - Reduce risk and enable people, communities and countries to meet their own food and nutrition needs.",World Food Programme ,"United Nations (UN) agency, fund or commission",201401124,0.0,648179.0,KEN
3849,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,31193.0,No,Kenya,Bil ODA,Contribution to the G7 goal of leading 500 million people out of hunger and malnutrition. Addressing SEWOH Field of Action 3 (Innovation). Improved access to medium and long-term agricultural financial services for small and medium-sized farmers and agricultural enterprises should help to increase investment and thereby increase productivity and income in rural areas.,"Regional Development Banks, Other",Regional Development Banks,201601533,0.0,1127269.0,KEN
3850,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,31193.0,No,Kenya,Bil ODA,Contribution to the G7 goal of leading 500 million people out of hunger and malnutrition. Addressing SEWOH Field of Action 3 (Innovation). Improved access to medium and long-term agricultural financial services for small and medium-sized farmers and agricultural enterprises should help to increase investment and thereby increase productivity and income in rural areas.,"Regional Development Banks, Other",Regional Development Banks,201601418,0.0,3381806.0,KEN
3851,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Lebanon,Bil ODA,"The project aims to improve the defective care of Palestinian refugees in Lebanon caused by the crisis. The resource competition should be reduced at short notice and the basic need care of the refugees should be improved (to contribute, e. g. , living space, water supply, food). In particular the reconstruction of NBC enjoys high political priority. The up to now planned single measures are based on the already implemented reconstruction measures and are so conceived that they unfold quickly perceptible effects in NBC and partially also to the environs.",United Nations Relief and Works Agency for Palestine Refugees in the Near East,"United Nations (UN) agency, fund or commission",201618677,0.0,5636343.0,LBN
3852,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,11330.0,Yes,Lebanon,Bil ODA,"Improvement of the training facilities for Lebanese, Syrian and Palestinian youngsters and adolescents",United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201740539,11272686.0,11272686.0,LBN
3853,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,11330.0,Yes,Lebanon,Bil ODA,"Improvement of the training facilities for Lebanese, Syrian and Palestinian youngsters and adolescents.",United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201740927,16909029.0,16909029.0,LBN
3854,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Lebanon,Bil ODA,"Considering the protracted nature of the Syrian crisis, the World Food Programme will continue to provide critical life-saving assistance while also expanding activities that promote resilience building for refugees and host communities in partnership with key stakeholders.",World Food Programme ,"United Nations (UN) agency, fund or commission",201718444,30616491.0,21598342.0,LBN
3855,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Lebanon,Bil ODA,Improving access to formal education for Lebanese children in need and refugee children.,United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201718428,61999775.0,33818059.0,LBN
3856,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Lebanon,Bil ODA,"The aim of the project is to improve health and living conditions. Syrian refugees and Lebanese people in receiving communities through improved drinking water supply and sanitation. In addition, regional and national administrative capacities in the sector are to be strengthened. The programme will rehabilitate or expand 12 water supply and four wastewater treatment plants.",United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201618701,0.0,5636343.0,LBN
3857,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Lebanon,Bil ODA,Improvement of the life bases and perspectives for for Palestinian refugees from Lebanon and Syria,United Nations Relief and Works Agency for Palestine Refugees in the Near East,"United Nations (UN) agency, fund or commission",201740851,11272686.0,7890880.0,LBN
3858,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Lebanon,Bil ODA,The aim of the project is to improve access to high-quality services for Syrian and Palestinian refugees and the local population. The aim is to contribute to social stability in the host communities and to the promotion of the peace process. The target group includes the host communities and thus the growing number of Syrian and Palestinian refugees as well as the local population living in the communities.,United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201618719,0.0,6763612.0,LBN
3859,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Lebanon,Bil ODA,"The emergency operation is intended to ensure food supplies for Syrian refugees in Lebanon and to support the Lebanese host communities, which are burdened by a disproportionate number of refugees.",World Food Programme ,"United Nations (UN) agency, fund or commission",201718832,25655464.0,21146389.0,LBN
3860,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,72050.0,Yes,Lebanon,Bil ODA,"Stabilisation of the neighbouring countries in the Syria crisis by cash transfer, food and winter facilities to refugees and destitute local population.",United Nations Relief and Works Agency for Palestine Refugees in the Near East,"United Nations (UN) agency, fund or commission",201640812,0.0,72503.0,LBN
3861,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,72050.0,Yes,Lebanon,Bil ODA,Aid to the living for Palestinian refugees and development of waste management draughts in Palestinian refugee camps.,United Nations Relief and Works Agency for Palestine Refugees in the Near East,"United Nations (UN) agency, fund or commission",201540830,0.0,338181.0,LBN
3862,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,72050.0,Yes,Lebanon,Bil ODA,Stabilisation of the neighbouring countries of the Syria crisis,United Nations Relief and Works Agency for Palestine Refugees in the Near East,"United Nations (UN) agency, fund or commission",201749951,3381806.0,2254537.0,LBN
3863,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Lebanon,Bil ODA,Improvement of the living conditions of Lebanese and Syrian refugees.,United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201749902,11272686.0,0.0,LBN
3864,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,72010.0,Yes,Libya,Bil ODA,Protection and education of children and youngsters.,United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201640903,7327245.999999999,2254537.0,LBY
3865,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,72010.0,Yes,Libya,Bil ODA,Protection of and education for children and youngsters.,United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201749936,11047233.0,4847255.0,LBY
3866,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Libya,Bil ODA,The Recipient (UNDP) shall use the financial contribution exclusively for the implementation of the Stabilization Facility for Libya.,United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201668359,5636343.0,5636343.0,LBY
